Split,Start_Date,End_Date,MSE,R2,Directional_Accuracy
1,106981,121244,0.12582617145648992,0.9090541727328633,0.9005187885586091
2,121245,135508,0.12313920764075556,0.911525528784828,0.9063376332024677
3,135509,149772,0.12440802495403974,0.9095779593118961,0.9054262478968031
4,149773,164036,0.14013724501406166,0.8997139369661142,0.906758272574313
5,164037,178300,0.14986517768687574,0.8962532172759972,0.9043746494671902
